Gene_set	Term	Overlap	P-value	Adjusted P-value	Odds Ratio	Combined Score	Genes
gs_ind_0	Tachycardia	27/47	4.198854e-03	6.230442e-02	1.679521e+00	9.191921e+00	DRD2_9913;SLC6A3_10090;SLC6A4_10116;OPRK1_10141;SLC6A4_10090;ADRA1A_10116;OPRK1_10090;SLC6A3_10116;DRD1_10116;HTR2C_10116;ADRA1A_9913;DRD2_10090;HTR2A_9606;OPRK1_10116;ADRA1A_9986;HRH1_10116;ADRB2_9913;HTR2A_10116;HRH1_9606;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_10116;OPRK1_9606;ADRA1A_9606;HTR2C_9606;SLC6A3_9606
gs_ind_0	Tardive dyskinesia	20/28	2.790963e-04	1.008734e-02	2.070328e+00	1.694347e+01	DRD2_9913;HTR1A_9606;SLC6A4_10116;HTR1A_10116;SLC6A4_10090;HTR7_9606;HTR7_10116;DRD1_10116;HTR2C_10116;DRD2_10090;HTR2A_9606;HRH1_10116;HTR2A_10116;HRH1_9606;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_10116;HTR2C_9606;HTR1A_10090
gs_ind_0	Tension	1/4	8.722110e-01	9.999898e-01	8.257081e-01	1.128941e-01	ADRB2_9913
gs_ind_0	Tinnitus	5/18	9.150490e-01	9.999898e-01	7.196645e-01	6.389016e-02	SCN5A_9606;SCN2A_9606;HRH1_10116;SCN2A_10116;HRH1_9606
gs_ind_0	Tongue oedema	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
gs_ind_0	Tremor	17/34	1.290560e-01	3.465406e-01	1.337286e+00	2.738104e+00	HRH1_9606;SCN5A_9606;SLC6A4_9606;SCN2A_9606;ADRA2B_10116;SLC6A3_10116;ACHE_10116;SLC6A3_9606;SLC6A4_10116;HRH1_10116;ADRB2_9913;ACHE_10090;DRD1_10116;SCN2A_10116;SLC6A3_10090;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Ureteral spasm	9/16	1.301240e-01	3.465406e-01	1.491927e+00	3.042438e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;OPRK1_10090
gs_ind_0	Urinary incontinence	1/11	9.969692e-01	9.999898e-01	3.111679e-01	9.445091e-04	ADRA2B_10116
gs_ind_0	Urinary retention	11/26	4.739790e-01	7.053923e-01	1.093063e+00	8.160722e-01	DRD2_10090;DRD2_9606;DRD2_9534;SLC6A4_9606;DRD2_9913;DRD2_10116;SLC6A4_10116;HRH1_10116;GABRA1_9606;HRH1_9606;SLC6A4_10090
gs_ind_0	Urinary tract disorder	2/3	3.497460e-01	5.875644e-01	1.802271e+00	1.893372e+00	HRH1_10116;HRH1_9606
gs_ind_0	Urine analysis abnormal	11/33	8.512077e-01	9.999898e-01	8.285265e-01	1.334748e-01	DRD2_10090;DRD2_9606;DRD2_9534;AVPR1A_10090;ADORA1_9986;DRD2_9913;OPRM1_10090;DRD2_10116;AVPR1A_9606;DRD1_10116;AVPR1A_10116
gs_ind_0	Urine output increased	14/35	5.669198e-01	7.924349e-01	1.019519e+00	5.786150e-01	DRD2_10090;DRD2_9606;DRD2_9534;ADORA1_9986;DRD2_9913;OPRM1_10090;OPRK1_10116;ACHE_10116;DRD2_10116;OPRK1_9606;OPRK1_10141;DRD1_10116;ACHE_10090;OPRK1_10090
gs_ind_0	Urticaria	3/13	9.473300e-01	9.999898e-01	6.281382e-01	3.398717e-02	HRH1_10116;OPRM1_10090;HRH1_9606
gs_ind_0	Vasoconstriction	5/8	1.671366e-01	3.702044e-01	1.655578e+00	2.961736e+00	ADRA2B_10116;ADRA1A_9986;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Vasodilatation	3/6	4.534979e-01	6.870358e-01	1.355188e+00	1.071635e+00	ADRB2_9913;SCN2A_9606;SCN2A_10116
gs_ind_0	Ventricular arrhythmia	5/9	2.598977e-01	4.981373e-01	1.473321e+00	1.985252e+00	ADRA1A_9986;ADRB2_9913;ADRA1A_9606;ADRA1A_10116;ADRA1A_9913
gs_ind_0	Ventricular tachycardia	1/3	7.851335e-01	9.596076e-01	1.067227e+00	2.581638e-01	ADRB1_10090
gs_ind_0	Vision blurred	13/29	3.481670e-01	5.875644e-01	1.167127e+00	1.231404e+00	DRD2_10090;DRD2_9606;SCN5A_9606;DRD2_9534;DRD2_9913;SCN2A_9606;DRD2_10116;ACHE_10116;HRH1_10116;ACHE_10090;SCN2A_10116;HRH1_9606;SLC6A2_10090
gs_ind_0	Visual impairment	3/3	6.201171e-02	2.091862e-01	2.557047e+00	7.109696e+00	HTR1A_9606;HTR1A_10090;HTR1A_10116
gs_ind_0	Visual pathway disorder	2/4	5.239010e-01	7.446458e-01	1.394408e+00	9.014184e-01	SCN2A_9606;SCN2A_10116
gs_ind_0	Vomiting	16/26	1.435366e-02	1.171444e-01	1.695812e+00	7.196603e+00	DRD2_10090;DRD2_9606;CNR1_9606;HTR3A_9606;HTR3A_10116;DRD2_9913;DRD2_9534;DRD2_10116;TACR1_10116;ACHE_10116;CNR1_10090;TACR1_10141;HTR3A_10141;ACHE_10090;CNR1_10116;HTR3A_10090
gs_ind_0	Weight decreased	7/9	2.200242e-02	1.328356e-01	2.066069e+00	7.885366e+00	CNR1_9606;SLC6A4_9606;CNR1_10090;SLC6A4_10116;CNR1_10116;SLC6A4_10090;SLC6A2_10090
gs_ind_0	Weight increased	10/25	5.778035e-01	7.933452e-01	1.027887e+00	5.638180e-01	DRD2_10090;DRD2_9606;DRD2_9534;HTR2A_9606;DRD2_9913;DRD2_10116;HRH1_10116;DRD1_10116;HTR2A_10116;HRH1_9606
gs_ind_0	Withdrawal syndrome	9/16	1.301240e-01	3.465406e-01	1.491927e+00	3.042438e+00	SIGMAR1_10090;SIGMAR1_9606;OPRM1_10090;OPRK1_10116;SIGMAR1_10116;OPRK1_9606;OPRK1_10141;SIGMAR1_10141;OPRK1_10090
